Time (s),Temperature (°C)
0.7970728874206543,23.5
2.621042251586914,23.5625
4.445082902908325,23.5625
6.269425392150879,23.5
8.092989444732666,23.5
9.916996717453003,23.5
11.741000652313232,23.5
13.564998388290405,23.5625
15.388987064361572,23.5
17.21314764022827,23.5625
19.037410259246826,23.5
20.86149573326111,23.5
22.68543267250061,23.5
24.509073972702026,23.5
26.332982063293457,23.5
28.15699338912964,23.5625
29.981412887573242,23.5625
31.805405855178833,23.5
33.62899422645569,23.5
35.45300889015198,23.5625
37.276991844177246,23.5625
39.10499978065491,23.5625
40.92498016357422,23.5625
42.74976563453674,23.625
44.5731418132782,23.625
46.39741039276123,23.5625
48.221421003341675,23.5625
50.04498910903931,23.625
51.868988275527954,23.625
53.69299554824829,23.625
55.52535843849182,23.5625
57.34541034698486,23.5625
59.16541409492493,23.5625
60.98941397666931,23.625
62.81340789794922,23.5625
64.6370017528534,23.625
66.46098828315735,23.625
68.28499150276184,23.625
70.10940957069397,23.625
71.9334192276001,23.625
73.75741672515869,23.625
75.58099055290222,23.625
77.40498566627502,23.625
79.22898626327515,23.625
81.05349445343018,23.6875
82.87742304801941,23.625
84.70099639892578,23.6875
86.52498459815979,23.625
88.34944438934326,23.625
90.17349457740784,23.6875
91.99742388725281,23.6875
93.82142090797424,23.6875
95.64503812789917,23.75
97.46898913383484,23.6875
99.29298949241638,23.75
101.11741042137146,23.75
102.94141244888306,23.6875
104.76552629470825,23.8125
106.58942246437073,23.8125
108.41341662406921,23.8125
110.23699378967285,23.8125
112.06099343299866,23.8125
113.8850326538086,23.875
115.70943665504456,23.8125
117.53341937065125,23.875
119.35741090774536,23.875
121.18141293525696,23.875
123.00550270080566,23.9375
124.82941675186157,23.9375
126.65341687202454,23.9375
128.4775047302246,24.0
130.30099153518677,24.0
132.12498831748962,24.0
133.94898533821106,24.0
135.773419380188,24.0
137.59740948677063,24.0
139.4215123653412,24.0
141.24549388885498,24.0625
143.06940269470215,24.0625
144.8930003643036,24.0625
146.71698451042175,24.0625
148.5410373210907,24.125
150.36539936065674,24.125
152.18946766853333,24.1875
154.01342391967773,24.1875
155.8369917869568,24.1875
157.66098642349243,24.1875
159.48904991149902,24.25
161.30941319465637,24.25
163.13341188430786,24.25
164.9574966430664,24.3125
166.78142046928406,24.3125
168.60541105270386,24.3125
170.42903208732605,24.375
172.25299453735352,24.375
174.07713150978088,24.375
175.90141606330872,24.375
177.72541165351868,24.375
179.55322456359863,24.375
181.37349009513855,24.4375
183.1974093914032,24.4375
185.02098298072815,24.4375
186.8450334072113,24.5625
188.66903066635132,24.5
190.49370455741882,24.5625
192.3169825077057,24.5625
194.1410312652588,24.625
195.96543526649475,24.5625
197.7894139289856,24.625
199.61299896240234,24.625
201.43703842163086,24.6875
203.26103043556213,24.75
205.08541440963745,24.75
206.9094157218933,24.75
208.733412027359,24.75
210.55753350257874,24.8125
212.3814046382904,24.8125
214.20541524887085,24.75
216.02899169921875,24.8125
217.8530261516571,24.875
219.67742156982422,24.875
221.50099396705627,24.875
223.32503628730774,24.9375
225.1497983932495,24.9375
226.97341132164001,24.9375
228.7974886894226,25.0
230.62135672569275,25.0
232.44550037384033,25.0625
234.2694022655487,25.0625
236.09299182891846,25.0625
237.91698288917542,25.0625
239.74149894714355,25.125
241.56540870666504,25.125
243.38949751853943,25.1875
245.21341228485107,25.1875
247.03740572929382,25.125
248.86148834228516,25.25
250.68499565124512,25.25
252.5090262889862,25.3125
254.3329849243164,25.25
256.15741777420044,25.3125
257.98138523101807,25.3125
259.8049955368042,25.3125
261.62902998924255,25.375
263.45303201675415,25.4375
265.2774176597595,25.4375
267.1014063358307,25.4375
268.9254207611084,25.4375
270.74948716163635,25.5
272.5734906196594,25.5625
274.3973994255066,25.5625
276.22098875045776,25.5625
278.0449802875519,25.5625
279.869505405426,25.625
281.693398475647,25.625
283.51750016212463,25.6875
285.34140944480896,25.6875
287.1654224395752,25.6875
288.98943543434143,25.6875
290.81303358078003,25.75
292.6369960308075,25.75
294.46111607551575,25.8125
296.2854104042053,25.8125
298.10938930511475,25.8125
299.93349599838257,25.875
301.75751781463623,25.9375
303.5814051628113,25.9375
305.4049971103668,25.9375
307.2290303707123,26.0
309.0529947280884,26.0
310.8774230480194,26.0
312.7014887332916,26.0625
314.5254936218262,26.0625
316.3494076728821,26.0
318.1733908653259,26.0625
319.99704670906067,26.125
321.82099199295044,26.125
323.6450262069702,26.1875
325.469496011734,26.25
327.29339599609375,26.1875
329.1174056529999,26.25
330.9414312839508,26.1875
332.76542258262634,26.25
334.5890402793884,26.3125
336.4130232334137,26.375
338.23698329925537,26.3125
340.06142950057983,26.3125
341.88542652130127,26.375
343.70941829681396,26.375
345.5330114364624,26.375
347.35702633857727,26.4375
349.1810233592987,26.5
351.00540590286255,26.5
352.82940697669983,26.5
354.65337586402893,26.625
356.4774103164673,26.625
358.30141854286194,26.625
360.12499809265137,26.625
361.94899010658264,26.625
363.7730257511139,26.6875
365.59735321998596,26.625
367.42148637771606,26.75
369.24540877342224,26.75
371.06942343711853,26.75
372.8934803009033,26.8125
374.7169964313507,26.8125
376.54098296165466,26.8125
378.364985704422,26.8125
380.18949699401855,26.9375
382.0134766101837,26.875
383.8374192714691,26.9375
385.6613652706146,26.9375
387.48545503616333,27.0
389.3094072341919,27.0
391.13303089141846,27.0625
392.95698833465576,27.0625
394.7814157009125,27.0625
396.6054286956787,27.0625
398.42948746681213,27.1875
400.2530312538147,27.125
402.0769817829132,27.1875
403.9009976387024,27.1875
405.7254168987274,27.1875
