Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8148810863494873,39.0625,-4.0625,0,-36.5625,0.0
6.6388514041900635,38.875,-3.875,0,-34.875,-0.6770361337065697
12.462862730026245,38.8125,-3.8125,0,-34.3125,-1.343157347291708
18.286850452423096,38.625,-3.625,0,-32.625,-1.9765160639584063
24.11220097541809,38.5625,-3.5625,0,-32.0625,-2.599098005890846
29.935362339019775,38.375,-3.375,0,-30.375,-3.1886930215358733
35.75883603096008,38.3125,-3.3125,0,-29.8125,-3.767403065264225
41.58285737037659,38.125,-3.125,0,-28.125,-4.313405065834522
47.40685510635376,38.0,-3.0,0,-27.0,-4.837565269768238
53.23130202293396,37.875,-2.875,0,-25.875,-5.339922294616699
59.05482220649719,37.6875,-2.6875,0,-24.1875,-5.809445070326328
64.87884092330933,37.625,-2.625,0,-23.625,-6.268086469173431
70.70282649993896,37.4375,-2.4375,0,-21.9375,-6.693965536504984
76.52682781219482,37.375,-2.375,0,-21.375,-7.108925579041243
82.35082387924194,37.25,-2.25,0,-20.25,-7.502045281380415
88.17483568191528,37.0,-2.0,0,-18.0,-7.851485960930585
93.99932193756104,36.875,-1.875,0,-16.875,-8.179112333804369
99.82283401489258,36.75,-1.75,0,-15.75,-8.484847619086503
105.64730978012085,36.625,-1.625,0,-14.625,-8.768789871186017
111.47082924842834,36.4375,-1.4375,0,-12.9375,-9.019929991364478
117.29482960700989,36.3125,-1.3125,0,-11.8125,-9.24925002425909
123.11883997917175,36.125,-1.125,0,-10.125,-9.445810390412808
128.94284296035767,35.9375,-0.9375,0,-8.4375,-9.609610454142093
134.76733231544495,35.875,-0.875,0,-7.875,-9.762502817809581
140.59129571914673,35.75,-0.75,0,-6.75,-9.893542031943797
146.4148223400116,35.625,-0.625,0,-5.625,-10.00273346453905
152.23883938789368,35.4375,-0.4375,0,-3.9375,-10.079173688292503
158.06282687187195,35.375,-0.375,0,-3.375,-10.14469354748726
163.8868236541748,35.125,-0.125,0,-1.125,-10.166533537209034
