Time (s),Temperature (°C),Error,PI Output,P Component,I Component,D Component
0.8125004768371582,23.875,10.125,100,1316.25,0.0,0
3.6279404163360596,23.75,10.25,100,1332.5,1.8757986143231393,288.58541682809175
6.44452166557312,23.8125,10.1875,100,1324.375,3.740904141813517,-144.23509442759286
9.25989818572998,23.875,10.125,100,1316.25,5.593771303594113,-144.29705850745677
12.07636547088623,23.8125,10.1875,100,1324.375,7.458780525624753,144.24254244817908
14.891903162002563,23.8125,10.1875,100,1324.375,9.323214283064008,0.0
17.707942247390747,23.9375,10.0625,100,1308.125,11.16508171863854,-288.5255317434031
20.52391004562378,23.9375,10.0625,100,1308.125,13.006897537857295,0.0
23.34019660949707,24.0625,9.9375,100,1291.875,14.826040484160185,-288.5008128781848
26.155949354171753,24.0,10.0,100,1300.0,16.656286896914246,144.27702093001378
28.971930980682373,24.25,9.75,100,1267.5,18.440915403813126,-577.0633753853583
31.78845500946045,24.1875,9.8125,100,1275.625,20.237314733415843,144.2392701083359
34.60392928123474,24.3125,9.6875,100,1259.375,22.01019885197282,-288.58123799226627
37.41993808746338,24.375,9.625,100,1251.25,23.77196316808462,-144.26456134094542
40.23644256591797,24.4375,9.5625,100,1243.125,25.52258309930563,-144.24019807022393
43.051928997039795,24.5,9.5,100,1235.0,27.261160545647144,-144.2900202851952
45.867966175079346,24.625,9.375,100,1218.75,28.9771818934381,-288.5262401527621
48.68440294265747,24.6875,9.3125,100,1210.625,30.681993141397836,-144.2436536122668
51.50392746925354,24.75,9.25,100,1202.5,32.37724530778826,-144.08346872670924
54.31596875190735,24.875,9.125,100,1186.25,34.045137717798355,-288.935940716393
57.1319317817688,24.9375,9.0625,100,1178.125,35.70391650184989,-144.26675993558214
59.94793629646301,25.125,8.875,100,1153.75,37.32839938133955,-432.793977164519
62.76388764381409,25.125,8.875,100,1153.75,38.95284925177693,0.0
65.57992887496948,25.25,8.75,100,1137.5,40.55447446480394,-288.52528746512036
68.39593029022217,25.3125,8.6875,100,1129.375,42.14463499471545,-144.26486669730434
71.21193289756775,25.4375,8.5625,100,1113.125,43.711916578561066,-288.5295379662577
74.02793264389038,25.5,8.5,100,1105.0,45.267756701856854,-144.2649033401543
76.84434580802917,25.5,8.5,100,1105.0,46.82381193414331,0.0
79.6610918045044,25.625,8.375,100,1088.75,48.35718919783831,-288.45131460614715
82.47993350028992,25.75,8.25,100,1072.5,49.868794463574886,-288.23869225388626
85.29193067550659,25.8125,8.1875,100,1064.375,51.365304083377126,-144.47028539888097
88.10792660713196,25.875,8.125,100,1056.25,52.852502312511206,-144.2650865546832
90.92392921447754,26.0,8.0,100,1040.0,54.31682366833091,-288.5295623947871
93.73992848396301,26.0625,7.9375,100,1031.875,55.769702553376554,-144.26502548312183
96.55642580986023,26.1875,7.8125,100,1015.625,57.19994420520961,-288.48107990785866
99.37240695953369,26.25,7.75,100,1007.5,58.618494349047545,-144.26591713305083
102.18793559074402,26.4375,7.5625,100,983.125,60.00251377560198,-432.86371952629116
105.00389218330383,26.4375,7.5625,100,983.125,61.386731031760576,0.0
107.81994462013245,26.5,7.5,100,975.0,62.75955810569227,-144.2620696813661
110.63642287254333,26.5625,7.4375,100,966.875,64.12113847635686,-144.2415656147698
113.45193123817444,26.6875,7.3125,100,950.625,65.45939556211233,-288.57789012339794
116.26841974258423,26.75,7.25,100,942.5,66.78665498375892,-144.2410649927754
119.08439469337463,26.8125,7.1875,100,934.375,68.10224383801221,-144.2661369936314
121.89993596076965,27.0,7.0,100,910.0,69.38332509487867,-432.8618868067684
124.71588945388794,27.0,7.0,100,910.0,70.66458230704069,0.0
127.5319356918335,27.0625,6.9375,100,901.875,71.93444423258305,-144.26242388262693
130.34792590141296,27.1875,6.8125,100,885.625,73.18140031956136,-288.5307349690626
133.16445326805115,27.3125,6.6875,100,869.375,74.40569950640202,-288.4781739187482
135.97998309135437,27.3125,6.6875,100,869.375,75.62958362475038,0.0
138.79593229293823,27.5,6.5,100,845.0,76.81932377412916,-432.80196542822125
141.61192917823792,27.4375,6.5625,100,853.125,78.0205224455148,144.26507434036677
144.42793917655945,27.5625,6.4375,100,836.875,79.19884682871401,-288.5287562555011
147.24440836906433,27.625,6.375,100,828.75,80.36591216124594,-144.2420051881667
150.0604109764099,27.6875,6.3125,100,820.625,81.52135303542018,-144.26480562592914
152.87592577934265,27.8125,6.1875,100,804.375,82.65372671701014,-288.5773036434168
155.69193053245544,27.875,6.125,100,796.25,83.77484851442277,-144.26468348333387
158.50791549682617,28.0,6.0,100,780.0,84.87308274351061,-288.53134568860577
161.32571744918823,28.0625,5.9375,100,771.875,85.96056263402104,-144.1747206023345
164.1399269104004,28.1875,5.8125,100,755.625,87.02382118903101,-288.70932173889173
166.95589399337769,28.1875,5.8125,100,755.625,88.08772731132805,0.0
169.77192854881287,28.25,5.75,100,747.5,89.140221741274,-144.2629368668469
172.58843231201172,28.3125,5.6875,100,739.375,90.18143969103694,-144.24025912076672
175.40441703796387,28.375,5.625,100,731.25,91.21103428080679,-144.26567284430288
178.21992659568787,28.5,5.5,100,715.0,92.21758687451482,-288.57781681327
181.03641963005066,28.5625,5.4375,100,706.875,93.21303169354796,-144.2410283620342
183.8519241809845,28.625,5.375,100,698.75,94.196707675457,-144.28896949841865
186.66792058944702,28.6875,5.3125,100,690.625,95.16910668224097,-144.26506212605244
189.48393726348877,28.75,5.25,100,682.5,96.13007220953703,-144.2640849876067
192.29994368553162,28.875,5.125,100,666.25,97.0681541106105,-288.5292448242276
195.1159393787384,28.9375,5.0625,100,658.125,97.9947930072248,-144.2650865546832
197.9324233531952,29.0,5.0,100,650.0,98.91014332517982,-144.24122372620226
200.74839758872986,29.0625,4.9375,100,641.875,99.81389467380941,-144.2662957822452
203.56391501426697,29.1875,4.8125,100,625.625,100.6946310273558,-288.5768882215392
206.3803415298462,29.1875,4.8125,100,625.625,101.57563542254269,0.0
209.19592714309692,29.25,4.75,100,617.5,102.44495616681874,-144.28470541612967
212.0119333267212,29.3125,4.6875,100,609.375,103.3029579782486,-144.264610197876
214.82793068885803,29.5,4.5,100,585.0,104.12663741588592,-432.7950398064473
217.6451017856598,29.5,4.5,100,585.0,104.95065821826458,0.0
220.45992588996887,29.5625,4.4375,100,576.875,105.7625607650727,-144.32487597885628
223.27642250061035,29.625,4.375,100,568.75,106.56349554769695,-144.2406376352857
226.09242963790894,29.75,4.25,100,552.5,107.34141758523882,-288.5290738249851
228.90788960456848,29.75,4.25,100,552.5,108.11919360421598,0.0
231.72391533851624,29.8125,4.1875,100,544.375,108.88568151719869,-144.2634254266387
234.5401840209961,29.8125,4.1875,100,544.375,109.6522335460037,0.0
237.35593247413635,30.0,4.0,100,520.0,110.3843291976303,-432.8327853006091
240.17236757278442,30.0,4.0,100,520.0,111.11659494660795,0.0
242.98792552947998,30.125,3.875,100,503.75,111.82577057294547,-288.5722942240526
245.8039948940277,30.1875,3.8125,100,495.625,112.52362705335021,-144.26150784845098
248.61990547180176,30.1875,3.8125,100,495.625,113.22144501157105,0.0
251.43593573570251,30.25,3.75,100,487.5,113.90785291142763,-144.26325443033517
254.2525019645691,30.3125,3.6875,100,479.375,114.58294885799289,-144.23586361377397
257.0679314136505,30.4375,3.5625,100,463.125,115.23489679500462,-288.5882761012834
259.8843357563019,30.4375,3.5625,100,463.125,115.88706413179636,0.0
262.7004203796387,30.5,3.5,100,455.0,116.52772408872843,-144.26042083632194
265.51592350006104,30.625,3.375,100,438.75,117.14538036838174,-288.5782811113763
268.33189272880554,30.625,3.375,100,438.75,117.76313283339144,0.0
271.1479375362396,30.6875,3.3125,100,430.625,118.36946299433708,-144.26249716586358
273.9679505825043,30.75,3.25,100,422.5,118.96519059926271,-144.05965375855524
276.7804231643677,30.875,3.125,100,406.25,119.53646968543529,-288.8939337963835
279.59591341018677,30.875,3.125,100,406.25,120.10837025806308,0.0
282.41192960739136,30.9375,3.0625,100,398.125,120.66893395692111,-144.2639628462317
285.2279284000397,31.0,3.0,100,390.0,121.21805381447078,-144.2649521973165
288.0439221858978,31.0625,2.9375,100,381.875,121.7557326734811,-144.26522091230012
290.86001920700073,31.125,2.875,100,373.75,122.28199044786395,-144.26004221796632
293.6759366989136,31.1875,2.8125,100,365.625,122.79677562586964,-144.26906853207484
296.49193716049194,31.25,2.75,100,357.5,123.30013575099409,-144.26487891158558
299.3079285621643,31.3125,2.6875,100,349.375,123.79205424897373,-144.26535527016733
302.1244168281555,31.375,2.625,100,341.25,124.27261381678284,-144.2410283620342
304.9399492740631,31.375,2.625,100,341.25,124.75301721341908,0.0
307.75592374801636,31.5,2.5,100,325.0,125.21061368532479,-288.5320541265147
310.5723400115967,31.5,2.5,100,325.0,125.66827679522336,0.0
313.38792395591736,31.5625,2.4375,100,316.875,126.1143754093349,-144.2847665043543
316.2044208049774,31.6875,2.3125,100,300.625,126.53772672325373,-288.4812264298684
319.020352602005,31.6875,2.3125,100,300.625,126.9609952530265,0.0
321.8368227481842,31.75,2.25,100,292.5,127.37290509283542,-144.24045448285105
324.6523561477661,31.75,2.25,100,292.5,127.78467570185661,0.0
327.46792912483215,31.875,2.125,100,276.25,128.17358083575965,-288.57053485949524
330.28390526771545,31.875,2.125,100,276.25,128.56253711238503,0.0
333.1004054546356,31.9375,2.0625,100,268.125,128.94012154772878,-144.24029575111723
335.9159367084503,32.0,2.0,100,260.0,129.30614343121647,-144.28782098154122
338.73593497276306,32.125,1.875,85.27940305680863,243.75,129.64983109742403,-288.12042804061537
341.5478959083557,32.125,1.875,100,243.75,129.9925381100178,0.0
344.36393117904663,32.1875,1.8125,100,235.625,130.3243026866764,-144.26292465289453
347.18034195899963,32.1875,1.8125,100,235.625,130.65610773913562,0.0
349.99640417099,32.375,1.625,0,211.25,130.95355521686375,-432.78386400593934
352.8119275569916,32.3125,1.6875,100,219.375,131.262385134995,144.28830970989256
355.62809920310974,32.375,1.625,100,211.25,131.55984238371252,-144.2565492520432
358.4439368247986,32.4375,1.5625,100,203.125,131.84582666702568,-144.27284306326797
361.25993824005127,32.5,1.5,100,195.0,132.12038687475027,-144.26480562592914
364.07592940330505,32.5625,1.4375,100,186.875,132.38350607134402,-144.26535527016733
366.891902923584,32.5625,1.4375,100,186.875,132.6466231738776,0.0
369.70792603492737,32.625,1.375,100,178.75,132.89830564431847,-144.2634987108929
372.52433800697327,32.625,1.375,100,178.75,133.15001971550285,0.0
375.34043979644775,32.6875,1.3125,100,170.625,133.39026892825962,-144.25938269396397
378.15589714050293,32.6875,1.3125,100,170.625,133.63046436183154,0.0
380.9724962711334,32.8125,1.1875,0,154.375,133.84786917179824,-288.47035978463794
383.78788447380066,32.8125,1.1875,100,154.375,134.06518353134393,0.0
