Time (s),Temperature (°C),Error,PI Output,P Component,I Component,D Component
299.3186557292938,28.375,5.625,62.31762905784886,26.04375,36.78767662107035,-0.5137975632214893
302.1346731185913,28.4375,5.5625,62.26975710031937,25.754375,37.02918405711794,-0.5138019567985758
304.95059299468994,28.4375,5.5625,63.02505792575916,25.754375,37.270682925759154,0.0
307.76617431640625,28.5,5.5,62.46056491265955,25.465,37.50944191987729,-0.5138770072177448
310.5821805000305,28.625,5.375,61.60145004476846,24.88625,37.74280778647977,-1.0276077417113114
313.3986237049103,28.625,5.375,62.86245757763132,24.88625,37.976207577631314,0.0
316.21414375305176,28.625,5.375,63.0957851531586,24.88625,38.209535153158605,0.0
319.0301761627197,28.6875,5.3125,62.52326615583417,24.596875,38.44018980656774,-0.5137986507335724
321.84657883644104,28.6875,5.3125,63.26774750260435,24.596875,38.670872502604354,0.0
324.66260957717896,28.6875,5.3125,63.498401706862765,24.596875,38.90152670686276,0.0
327.47817301750183,28.75,5.25,62.92305180376554,24.3075,39.1294317264274,-0.5138799226618639
330.29417157173157,28.875,5.125,62.05308244969902,23.728749999999998,39.35194280150452,-1.0276103518055004
333.1105647087097,28.875,5.125,63.3032331148001,23.728749999999998,39.5744831148001,0.0
335.9305462837219,28.875,5.125,63.526059329644134,23.728749999999998,39.797309329644136,0.0
338.74263310432434,28.9375,5.0625,62.94165575996236,23.439375,40.01680127148547,-0.5145205115231065
341.5581851005554,29.0,5.0,62.869968982556266,23.15,40.23385225584402,-0.5138832732877525
344.3741660118103,29.0625,4.9375,62.79503825195884,22.860625,40.44822142949507,-0.513808177536227
347.1906056404114,29.0625,4.9375,63.523248345429415,22.860625,40.66262334542942,0.0
350.0066692829132,29.125,4.875,62.93174279640061,22.57125,40.87428540062536,-0.5137926042247495
352.8221342563629,29.125,4.875,63.65715360538597,22.57125,41.08590360538597,0.0
355.6381332874298,29.125,4.875,63.868810338318205,22.57125,41.297560338318206,0.0
358.45466923713684,29.1875,4.8125,63.27470607481765,22.281875,41.50654199987143,-0.5137109250537782
361.2701828479767,29.25,4.75,63.19134838117643,21.9925,41.712737920687005,-0.5138895395105755
364.08613753318787,29.25,4.75,63.91146422293022,21.9925,41.91896422293022,0.0
366.91057682037354,29.3125,4.6875,63.31394203602518,21.703125,42.12308940546297,-0.5122723694377865
369.7185847759247,29.3125,4.6875,64.02915250332308,21.703125,42.326027503323076,0.0
372.5346565246582,29.4375,4.5625,62.62091407140529,21.124375,42.52412193088437,-1.0275828594790843
375.3506500720978,29.375,4.625,64.65248020830595,21.41375,42.72492433637537,0.513805871930578
378.16615319252014,29.4375,4.5625,63.53346224517372,21.124375,42.92297978730356,-0.513892542129835
380.982661485672,29.5,4.5,63.43967350290403,20.835,43.118389341891415,-0.5137158389873845
383.79858660697937,29.5,4.5,64.14875942819268,20.835,43.31375942819268,0.0
386.61417603492737,29.5625,4.4375,63.53814515082628,20.545625,43.50639524344199,-0.513875092615722
389.43012738227844,29.5625,4.4375,64.2446788137465,20.545625,43.69905381374651,0.0
392.2466697692871,29.6875,4.3125,62.82577974077252,19.966874999999998,43.88632363385948,-1.0274188930869612
395.0626666545868,29.625,4.375,64.84632745300408,20.256249999999998,44.07627201609112,0.5138054369129647
397.8781383037567,29.6875,4.3125,63.71644991277049,19.966874999999998,44.26347306858698,-0.513898155816486
400.6941695213318,29.75,4.25,63.61169778584133,19.6775,44.44799669757849,-0.5137989117371574
403.51068687438965,29.8125,4.1875,63.50424718935987,19.388125,44.6298366367813,-0.5137144474214236
406.3265964984894,29.8125,4.1875,64.19976335544052,19.388125,44.81163835544052,0.0
409.14257645606995,29.8125,4.1875,64.38156992285981,19.388125,44.99344492285981,0.0
411.9581809043884,29.875,4.125,63.7573931462452,19.09875,45.17251571508915,-0.5138725688439446
414.778124332428,29.875,4.125,64.45061067213364,19.09875,45.35186067213364,0.0
