Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8069384098052979,25.0,4.0,54.0,54.0,0.0
6.631407976150513,24.9375,4.0625,56.76035627894103,54.84375,1.916606278941035
12.455323696136475,24.9375,4.0625,58.67678783945739,54.84375,3.833037839457392
18.27889132499695,24.875,4.125,61.46634557859599,55.6875,5.778845578595995
24.103296518325806,24.9375,4.0625,62.53918067479133,54.84375,7.695430674791335
29.92685294151306,24.9375,4.0625,64.45550232039392,54.84375,9.611752320393919
35.751320600509644,25.0,4.0,65.49887281237542,54.0,11.498872812375424
41.57486820220947,24.9375,4.0625,68.2589409275204,54.84375,13.415190927520392
47.39929461479187,25.0,4.0,69.30229975511133,54.0,15.302299755111335
53.22284007072449,24.9375,4.0625,72.06236724261939,54.84375,17.21861724261939
59.04730176925659,24.9375,4.0625,73.97897273701429,54.84375,19.135222737014292
64.8712990283966,24.9375,4.0625,75.89543120746315,54.84375,21.051681207463144
70.69484853744507,24.9375,4.0625,77.81175002869963,54.84375,22.968000028699635
76.51936554908752,25.0625,3.9375,77.9819017523378,53.15625,24.82565175233781
82.3432948589325,24.9375,4.0625,81.58583762785793,54.84375,26.74208762785792
88.16738820075989,25.125,3.875,80.88262597319483,52.3125,28.570125973194834
93.99086213111877,25.125,3.875,82.71047334310413,52.3125,30.39797334310412
99.81530737876892,25.0625,3.9375,85.41185141810774,53.15625,32.255601418107744
105.63930249214172,25.125,3.875,86.3961073604822,52.3125,34.08360736048221
111.46284580230713,25.125,3.875,88.22397852748631,52.3125,35.91147852748632
117.28739070892334,25.1875,3.8125,89.17891623660921,51.46875,37.71016623660922
123.11127138137817,25.125,3.875,91.85063580983876,52.3125,39.538135809838764
128.93544149398804,25.25,3.75,91.9322281333208,50.625,41.307228133320805
134.75885581970215,25.25,3.75,93.70109494203328,50.625,43.076094942033286
140.58341574668884,25.3125,3.6875,94.59706362761557,49.78125,44.81581362761556
146.40684294700623,25.3125,3.6875,96.33645338197053,49.78125,46.55520338197052
152.23127508163452,25.3125,3.6875,98.07613375514745,49.78125,48.29488375514745
158.05538773536682,25.4375,3.5625,98.06925433158874,48.09375,49.97550433158874
163.87884759902954,25.4375,3.5625,99.74969094040989,48.09375,51.65594094040989
169.7033724784851,25.5625,3.4375,99.68395243960617,46.40625,53.27770243960618
175.52684664726257,25.5625,3.4375,100,46.40625,54.89918067540228
181.3508505821228,25.5625,3.4375,100,46.40625,56.52080177101492
187.17545461654663,25.6875,3.3125,100,44.71875,58.08361219467222
192.99883842468262,25.6875,3.3125,100,44.71875,59.64610244505106
198.8233666419983,25.875,3.125,100,42.1875,61.120432830825436
204.6468961238861,25.8125,3.1875,100,43.03125,62.623999596342436
210.47136211395264,25.9375,3.0625,100,41.34375,64.06882681444286
216.29536128044128,26.0,3.0,100,40.5,65.48405855396389
222.11937618255615,26.0625,2.9375,100,39.65625,66.86981009973584
227.9428985118866,26.125,2.875,100,38.8125,68.22596691526472
233.7672860622406,26.125,2.875,100,38.8125,69.58231616909801
239.5913600921631,26.25,2.75,100,37.125,70.8796299869567
245.41487574577332,26.3125,2.6875,100,36.28125,72.14734013195334
251.23936700820923,26.4375,2.5625,100,34.59375,73.35628228913247
257.0628366470337,26.4375,2.5625,100,34.59375,74.56501932370662
262.88688588142395,26.5625,2.4375,100,32.90625,75.714905562222
268.71129846572876,26.5625,2.4375,100,32.90625,76.86485836163162
274.53489208221436,26.625,2.375,100,32.0625,77.98517677018046
280.3588876724243,26.75,2.25,100,30.375,79.04659987959265
286.1833646297455,26.8125,2.1875,100,29.53125,80.0786216445565
292.0068910121918,26.9375,2.0625,100,27.84375,81.0515170699954
297.83128595352173,26.9375,2.0625,100,27.84375,82.02455150493978
303.6549389362335,27.0625,1.9375,100,26.15625,82.93850448726117
309.4793071746826,27.0625,1.9375,100,26.15625,83.85256283533572
315.3028905391693,27.125,1.875,100,25.3125,84.73702285391091
321.1268870830536,27.25,1.75,100,23.625,85.56257443159818
326.9508578777313,27.25,1.75,100,23.625,86.3881218523979
332.77537274360657,27.4375,1.5625,100,21.09375,87.12528511409461
338.59884333610535,27.4375,1.5625,100,21.09375,87.86231998179852
344.4233629703522,27.5,1.5,100,20.25,88.56999737928807
350.24687242507935,27.5625,1.4375,100,19.40625,89.24807426020502
356.07136726379395,27.625,1.375,100,18.5625,89.8967753547728
361.894877910614,27.6875,1.3125,100,17.71875,90.51588923142849
367.71888995170593,27.75,1.25,100,16.875,91.10557045058904
373.5433580875397,27.8125,1.1875,100,16.03125,91.66580985116957
379.3673186302185,27.8125,1.1875,100,16.03125,92.22600157427786
385.19137501716614,28.0,1.0,100,13.5,92.69775039267539
391.01535749435425,27.9375,1.0625,100,14.34375,93.19897704876958
396.8388822078705,28.0625,0.9375,100,12.65625,93.64120233267545
402.66336607933044,28.125,0.875,100,11.8125,94.05401130902766
408.48735094070435,28.1875,0.8125,100,10.96875,94.43730232840775
414.3108868598938,28.25,0.75,100,10.125,94.7910831928253
420.1353738307953,28.3125,0.6875,100,9.28125,95.11543328869341
425.962895154953,28.375,0.625,100,8.4375,95.41045247304439
431.78328371047974,28.375,0.625,100,8.4375,95.70510860565304
437.6073548793793,28.5,0.5,100,6.75,95.94098363283275
443.4308350086212,28.5,0.5,100,6.75,96.1768351767361
449.2553780078888,28.5625,0.4375,100,5.90625,96.38324188698827
455.0793664455414,28.625,0.375,100,5.0625,96.56014555750787
460.90337920188904,28.6875,0.3125,100,4.21875,96.70756587436794
466.7273693084717,28.75,0.25,100,3.375,96.82550166437028
472.5508522987366,28.75,0.25,100,3.375,96.9434274894297
478.3753800392151,28.875,0.125,98.68990066140888,1.6875,97.00240066140888
484.19930148124695,28.875,0.125,98.74886782738565,1.6875,97.06136782738565
490.02287769317627,28.9375,0.0625,97.93459979662298,0.84375,97.09084979662298
495.8468863964081,29.0,0.0,97.09084979662298,0.0,97.09084979662298
501.6713025569916,29.0,0.0,97.09084979662298,0.0,97.09084979662298
507.49489283561707,29.125,-0.125,95.34438573020695,-1.6875,97.03188573020695
513.3192734718323,29.125,-0.125,95.28541409111021,-1.6875,96.97291409111021
519.1428837776184,29.1875,-0.1875,94.3532176837027,-2.53125,96.8844676837027
524.967306137085,29.1875,-0.1875,94.26475959862768,-2.53125,96.79600959862768
530.7908828258514,29.25,-0.25,93.30308171685039,-3.375,96.67808171685039
536.614898443222,29.3125,-0.3125,92.3119113396406,-4.21875,96.5306613396406
542.4388377666473,29.3125,-0.3125,92.16449293586611,-4.21875,96.38324293586611
548.2628870010376,29.375,-0.375,91.14383736795186,-5.0625,96.20633736795186
554.086846113205,29.3125,-0.3125,91.84016846930979,-4.21875,96.05891846930979
559.9113743305206,29.4375,-0.4375,89.94626229979096,-5.90625,95.85251229979096
565.7352681159973,29.4375,-0.4375,89.73987824119627,-5.90625,95.64612824119627
571.5588493347168,29.4375,-0.4375,89.53350435514747,-5.90625,95.43975435514747
577.3833167552948,29.5625,-0.5625,87.58062771007417,-7.59375,95.17437771007417
583.206880569458,29.5,-0.5,88.18852268037199,-6.75,94.93852268037199
589.0312898159027,29.5625,-0.5625,87.07939901174603,-7.59375,94.67314901174603
594.85484790802,29.5625,-0.5625,86.81406227713822,-7.59375,94.40781227713822
600.6788856983185,29.6875,-0.6875,84.8022360664755,-9.28125,94.0834860664755
606.5028884410858,29.625,-0.625,85.35114590348302,-8.4375,93.78864590348302
612.3272924423218,29.6875,-0.6875,84.18305074663459,-9.28125,93.46430074663459
618.1508913040161,29.75,-0.75,82.98551571084558,-10.125,93.11051571084558
623.9752957820892,29.6875,-0.6875,83.50492040795086,-9.28125,92.78617040795086
629.7988879680634,29.8125,-0.8125,81.43415378795562,-10.96875,92.40290378795562
635.6232860088348,29.75,-0.75,81.92407298295198,-10.125,92.04907298295198
641.4472923278809,29.8125,-0.8125,80.697030520007,-10.96875,91.665780520007
647.2708387374878,29.8125,-0.8125,80.31376702250539,-10.96875,91.28251702250539
653.0948865413666,29.875,-0.875,79.05723751612007,-11.8125,90.86973751612007
658.9192848205566,29.875,-0.875,78.6444348257929,-11.8125,90.4569348257929
664.7428560256958,29.8125,-0.8125,79.10491979058085,-10.96875,90.07366979058085
670.5673916339874,29.9375,-0.9375,76.9751202584356,-12.65625,89.6313702584356
676.3908445835114,29.875,-0.875,77.40613188157974,-11.8125,89.21863188157974
682.2152783870697,29.9375,-0.9375,76.12009053285419,-12.65625,88.77634053285419
688.0392799377441,29.9375,-0.9375,75.67783034268021,-12.65625,88.33408034268021
693.862841129303,29.9375,-0.9375,75.23560219819842,-12.65625,87.89185219819842
699.6868531703949,29.9375,-0.9375,74.79334128382801,-12.65625,87.44959128382801
705.5112729072571,29.875,-0.875,75.22428685301541,-11.8125,87.03678685301541
711.3348886966705,30.0,-1.0,73.06507223600148,-13.5,86.56507223600148
717.1592969894409,29.9375,-0.9375,73.4665330236554,-12.65625,86.1227830236554
722.9828476905823,30.0,-1.0,72.15107377535104,-13.5,85.65107377535104
728.8072819709778,30.0,-1.0,71.67929606634377,-13.5,85.17929606634377
734.6312875747681,30.0,-1.0,71.2075517862439,-13.5,84.7075517862439
740.4548895359039,30.0625,-1.0625,69.86260605213045,-14.34375,84.20635605213045
746.2793006896973,29.9375,-0.9375,71.1078165501058,-12.65625,83.7640665501058
