Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8096878528594971,25.0,4.0,39.375,39.375,0.0
2.633653402328491,24.9375,4.0625,40.33214388469787,39.990234375,0.3419095096978708
4.457611799240112,24.9375,4.0625,40.67405218769636,39.990234375,0.6838178126963612
6.281609296798706,24.9375,4.0625,41.01596817781683,39.990234375,1.0257338028168306
8.10560941696167,24.9375,4.0625,41.357884927710984,39.990234375,1.367650552710984
9.93004584312439,24.9375,4.0625,41.69987850413236,39.990234375,1.7096441291323572
11.753610134124756,24.9375,4.0625,42.041717935881024,39.990234375,2.0514835608810245
13.577661275863647,24.875,4.125,43.004139165957895,40.60546875,2.398670415957895
15.401594161987305,24.9375,4.0625,42.73080889285484,39.990234375,2.7405745178548386
17.226054191589355,24.9375,4.0625,43.07280810053999,39.990234375,3.082573725539987
19.050065517425537,24.875,4.125,44.03522157061161,40.60546875,3.4297528206116112
20.893818616867065,24.875,4.125,44.386159185651195,40.60546875,3.780690435651195
22.697598934173584,24.875,4.125,44.729489862682385,40.60546875,4.124021112682385
24.52160358428955,24.875,4.125,45.07666755096943,40.60546875,4.471198800969432
26.345648765563965,24.8125,4.1875,46.044348036248266,41.220703125,4.823644911248266
28.169594287872314,24.875,4.125,45.77627973221752,40.60546875,5.1708109822175174
29.99418044090271,24.875,4.125,46.123567966544215,40.60546875,5.518099216544215
31.818037509918213,24.875,4.125,46.47071375258747,40.60546875,5.865245002587471
33.64221906661987,24.8125,4.1875,47.438419252641324,41.220703125,6.217716127641324
35.465601444244385,24.875,4.125,47.17024884327839,40.60546875,6.564780093278387
37.28960299491882,24.875,4.125,47.51742585086322,40.60546875,6.911957100863219
39.11406064033508,24.875,4.125,47.86468613101897,40.60546875,7.259217381018971
40.945992946624756,24.875,4.125,48.213374070619466,40.60546875,7.607905320619466
42.762043476104736,24.875,4.125,48.559036152735644,40.60546875,7.9535674027356436
44.58560657501221,24.875,4.125,48.906133563541516,40.60546875,8.300664813541516
46.40960144996643,24.875,4.125,49.25330939124251,40.60546875,8.64784064124251
48.233593225479126,24.8125,4.1875,50.220979188809,41.220703125,9.000276063808997
50.05759859085083,24.875,4.125,49.952922456715896,40.60546875,9.347453706715896
51.88158106803894,24.875,4.125,50.300095879269065,40.60546875,9.694627129269065
53.70560264587402,24.875,4.125,50.64727674416645,40.60546875,10.041807994166447
55.53002905845642,24.875,4.125,50.99453107952286,40.60546875,10.389062329522858
57.35759449005127,24.875,4.125,51.34239028686716,40.60546875,10.736921536867158
59.177597522735596,24.875,4.125,51.688806223995925,40.60546875,11.083337473995925
61.00212073326111,24.8125,4.1875,52.65657451435982,41.220703125,11.435871389359818
62.82604241371155,24.875,4.125,52.38850257991726,40.60546875,11.783033829917258
64.64960026741028,24.8125,4.1875,53.35609203537024,41.220703125,12.135388910370239
66.47359848022461,24.8125,4.1875,53.70852879390077,41.220703125,12.487825668900769
68.29765152931213,24.8125,4.1875,54.06097600980502,41.220703125,12.840272884805017
70.1215922832489,24.8125,4.1875,54.41340157387822,41.220703125,13.192698448878218
71.94561386108398,24.875,4.125,54.145347973015305,40.60546875,13.539879223015305
73.77359914779663,24.8125,4.1875,55.11378945105389,41.220703125,13.89308632605389
75.59359860420227,24.875,4.125,54.84497042324074,40.60546875,14.239501673240738
77.41766047477722,24.8125,4.1875,55.81265376471856,41.220703125,14.591950639718561
79.24159717559814,24.8125,4.1875,56.1650786838436,41.220703125,14.944375558843603
81.06561183929443,24.875,4.125,55.897023630815966,40.60546875,15.291554880815966
82.88959622383118,24.875,4.125,56.24419746179046,40.60546875,15.638728711790463
84.71359992027283,24.8125,4.1875,57.211869516675506,41.220703125,15.991166391675506
86.53804183006287,24.8125,4.1875,57.56438832182539,41.220703125,16.34368519682539
88.36204934120178,24.8125,4.1875,57.916826416319964,41.220703125,16.696123291319964
90.18598628044128,24.875,4.125,57.64875784000833,40.60546875,17.04328909000833
92.00960612297058,24.875,4.125,57.995865007545945,40.60546875,17.390396257545945
93.83359241485596,24.875,4.125,58.343039383082214,40.60546875,17.737570633082214
95.65760087966919,24.875,4.125,58.690217752071476,40.60546875,18.084749002071476
97.48212122917175,24.8125,4.1875,59.65798696378988,41.220703125,18.43728383878988
99.3060245513916,24.8125,4.1875,60.01040506489153,41.220703125,18.78970193989153
101.1295998096466,24.8125,4.1875,60.36276286334032,41.220703125,19.142059738340322
102.95359444618225,24.8125,4.1875,60.71519888478724,41.220703125,19.49449575978724
104.77760124206543,24.875,4.125,60.44714260649562,40.60546875,19.841673856495618
106.60159826278687,24.8125,4.1875,61.41481350968752,41.220703125,20.19411038468752
108.42560291290283,24.8125,4.1875,61.767251143504836,41.220703125,20.546548018504836
110.24959969520569,24.8125,4.1875,62.119687717764464,41.220703125,20.898984592764464
112.07399106025696,24.875,4.125,61.85170182408183,40.60546875,21.24623307408183
113.8980393409729,24.875,4.125,62.198886863952794,40.60546875,21.593418113952794
115.7216203212738,24.8125,4.1875,63.166480834042886,41.220703125,21.945777709042886
117.54560017585754,24.875,4.125,62.89841942779458,40.60546875,22.29295067779458
119.36959671974182,24.875,4.125,63.24559552777646,40.60546875,22.64012677777646
121.19405031204224,24.875,4.125,63.59285485494911,40.60546875,22.98738610494911
123.01803612709045,24.875,4.125,63.94002895820449,40.60546875,23.334560208204493
124.84203910827637,24.875,4.125,64.28720637421065,40.60546875,23.681737624210655
126.66559910774231,24.875,4.125,64.63430310431431,40.60546875,24.028834354314313
128.48959589004517,24.875,4.125,64.98147929505649,40.60546875,24.376010545056488
130.31359457969666,24.875,4.125,65.32865575807955,40.60546875,24.72318700807955
132.13760089874268,24.875,4.125,65.67583358250704,40.60546875,25.07036483250704
133.9616003036499,24.8125,4.1875,66.64350490030847,41.220703125,25.42280177530847
135.78559350967407,24.9375,4.0625,65.75495155942554,39.990234375,25.764717184425535
137.61001896858215,24.875,4.125,66.71744036054224,40.60546875,26.11197161054224
139.43403792381287,24.875,4.125,67.06462013631608,40.60546875,26.45915138631608
141.25760173797607,24.875,4.125,67.41171763788225,40.60546875,26.806248887882248
143.08159613609314,24.9375,4.0625,67.13839876138445,39.990234375,27.14816438638445
144.90559124946594,24.9375,4.0625,67.48031439396436,39.990234375,27.490080018964363
146.73007440567017,24.9375,4.0625,67.82231748990307,39.990234375,27.83208311490307
148.55409169197083,24.9375,4.0625,68.16423750235481,39.990234375,28.17400312735481
150.37802934646606,24.9375,4.0625,68.5061422746403,39.990234375,28.515907899640297
152.20170283317566,24.9375,4.0625,68.84800128173447,39.990234375,28.85776690673447
154.02559065818787,24.9375,4.0625,69.18989675796547,39.990234375,29.19966238296547
155.8495922088623,24.9375,4.0625,69.53181350785962,39.990234375,29.541579132859624
157.67403364181519,24.9375,4.0625,69.87380927421691,39.990234375,29.88357489921691
159.4980456829071,25.0,4.0,69.59523315162005,39.375,30.22023315162005
161.32204604148865,25.0,4.0,69.93188946780356,39.375,30.556889467803558
163.145592212677,25.0,4.0,70.26846565089727,39.375,30.89346565089727
164.96959924697876,25.0,4.0,70.60512311121056,39.375,31.23012311121056
166.798335313797,25.0,4.0,70.94265231040845,39.375,31.567652310408448
168.6180455684662,25.0,4.0,71.27851420447769,39.375,31.903514204477688
170.44204592704773,25.0,4.0,71.61517056466619,39.375,32.24017056466619
172.26559805870056,25.0,4.0,71.95174797989966,39.375,32.576747979899665
174.0895972251892,25.0,4.0,72.2884041640682,39.375,32.9134041640682
175.9142668247223,25.0,4.0,72.62518387024829,39.375,33.25018387024829
177.7376527786255,25.0625,3.9375,72.34123427405575,38.759765625,33.58146864905575
179.56161546707153,25.0625,3.9375,72.67262318792564,38.759765625,33.91285756292564
181.3856017589569,25.0,4.0,73.62451128281464,39.375,34.24951128281464
183.21004009246826,25.0625,3.9375,73.34074890448392,38.759765625,34.58098327948392
185.03403854370117,25.0625,3.9375,73.67214461918775,38.759765625,34.91237899418775
186.857586145401,25.0625,3.9375,74.00346218927734,38.759765625,35.24369656427734
188.68159985542297,25.0625,3.9375,74.3348605463434,38.759765625,35.57509492134341
190.50559186935425,25.0625,3.9375,74.66625500484224,38.759765625,35.90648937984224
192.33413004875183,25.0625,3.9375,74.99847245088313,38.759765625,36.23870682588313
194.1541292667389,25.125,3.875,74.70865876669268,38.14453125,36.56412751669268
195.9776737689972,25.125,3.875,75.03471557990997,38.14453125,36.89018432990997
197.80160689353943,25.125,3.875,75.36083953511843,38.14453125,37.21630828511843
199.62559461593628,25.125,3.875,75.68697325255926,38.14453125,37.542442002559255
201.45004177093506,25.125,3.875,76.0131854088977,38.14453125,37.8686541588977
203.27365040779114,25.125,3.875,76.33925445687782,38.14453125,38.194723206877825
205.09763097763062,25.1875,3.8125,76.0448926972822,37.529296875,38.515595822282194
206.92163276672363,25.1875,3.8125,76.3657674517417,37.529296875,38.836470576741704
