Time (s),Temperature (°C)
0.8002150058746338,24.875
2.6246821880340576,24.875
4.448124647140503,24.875
6.272113084793091,24.875
8.096111059188843,24.875
9.920157432556152,24.8125
11.744111061096191,24.875
13.568105697631836,24.875
15.392111539840698,24.875
17.240679264068604,24.9375
19.040149211883545,25.0
20.864181756973267,25.0
22.688113689422607,25.0
24.5121648311615,25.0625
26.336155652999878,25.125
28.160194873809814,25.125
29.98811912536621,25.125
31.812147617340088,25.1875
33.63215970993042,25.25
35.45610165596008,25.25
37.28015947341919,25.3125
39.10414505004883,25.375
40.9281051158905,25.375
42.75276494026184,25.5
44.57644557952881,25.5
46.400147914886475,25.5625
48.22410821914673,25.5625
50.04814839363098,25.625
51.87215209007263,25.625
53.69661092758179,25.6875
55.52053189277649,25.6875
57.34463596343994,25.8125
59.168522357940674,25.8125
60.99215078353882,25.875
62.816102027893066,25.875
64.6401424407959,25.9375
66.46537232398987,26.0
68.28860378265381,26.125
70.11252570152283,26.125
71.93689942359924,26.1875
73.76059985160828,26.25
75.58452439308167,26.25
77.40814852714539,26.3125
79.23213744163513,26.375
81.05662512779236,26.4375
82.88054037094116,26.4375
84.7046205997467,26.5
86.5286111831665,26.5625
88.35251808166504,26.5625
90.17661786079407,26.625
92.00016736984253,26.75
93.8241376876831,26.75
95.6481409072876,26.8125
97.4766116142273,26.875
99.29665231704712,26.9375
101.1201069355011,26.9375
102.94414210319519,27.0
104.76814484596252,27.0625
106.59263277053833,27.125
108.41661667823792,27.1875
110.24053287506104,27.1875
112.06447529792786,27.1875
113.88860511779785,27.3125
115.71253538131714,27.3125
117.53614568710327,27.375
119.3601508140564,27.4375
121.1846170425415,27.5
123.0085186958313,27.5
124.83261227607727,27.5625
126.65662121772766,27.625
128.4805085659027,27.625
130.30462861061096,27.75
132.1281099319458,27.75
133.95216369628906,27.8125
135.7761425971985,27.875
137.6006157398224,27.9375
139.42451786994934,27.9375
141.248615026474,28.0
143.07252264022827,28.0
144.8966362476349,28.0625
146.72015142440796,28.125
148.54409956932068,28.125
150.3681423664093,28.1875
152.19263005256653,28.25
154.01661896705627,28.3125
155.84071612358093,28.375
157.66410112380981,28.375
159.48814272880554,28.4375
161.31260180473328,28.5
163.13651728630066,28.5
164.96059918403625,28.5625
166.78413915634155,28.625
168.6080961227417,28.625
170.43210315704346,28.625
172.25661277770996,28.75
174.08053922653198,28.75
175.9045467376709,28.8125
177.72814774513245,28.875
179.55210161209106,28.875
181.37661457061768,28.9375
183.2005956172943,29.0
185.0245234966278,29.0
186.84813976287842,29.0625
188.67214369773865,29.125
190.496102809906,29.125
192.32065176963806,29.1875
194.1445107460022,29.1875
195.96815490722656,29.25
197.79214429855347,29.3125
199.61615681648254,29.375
201.4405279159546,29.375
203.26460099220276,29.4375
205.08861875534058,29.5
206.91254115104675,29.5
208.73659873008728,29.5625
210.56061387062073,29.625
212.38409900665283,29.625
214.20813512802124,29.6875
216.03263473510742,29.75
217.85610151290894,29.75
219.6801471710205,29.8125
221.50454878807068,29.8125
223.328608751297,29.875
225.15260672569275,29.9375
226.97654247283936,29.9375
228.8005166053772,29.9375
230.6246018409729,30.0
232.44815373420715,30.0625
234.27208638191223,30.0625
236.09664869308472,30.125
237.92058777809143,30.1875
239.7446846961975,30.25
241.56852626800537,30.25
243.3926236629486,30.3125
245.2166314125061,30.375
247.04010772705078,30.375
248.86413073539734,30.4375
250.68809986114502,30.4375
252.51261186599731,30.5
254.33654642105103,30.5
256.1606810092926,30.5625
257.9840910434723,30.5625
259.80815052986145,30.625
261.63252305984497,30.625
263.45660948753357,30.6875
265.2805995941162,30.75
267.1041100025177,30.75
268.9281282424927,30.8125
270.75214648246765,30.875
272.57670998573303,30.875
274.40060687065125,30.9375
276.2241487503052,31.0
278.04809617996216,31.0
279.87209844589233,31.0
281.6966061592102,31.0625
283.5205430984497,31.0625
285.3446364402771,31.125
287.1686487197876,31.1875
288.99250316619873,31.1875
290.8166468143463,31.25
292.64010214805603,31.1875
294.4641418457031,31.3125
296.2885274887085,31.3125
298.1165919303894,31.375
299.9365243911743,31.375
301.76054334640503,31.375
303.5845901966095,31.5
305.40861415863037,31.4375
307.2320990562439,31.5
309.05614018440247,31.5625
310.88016080856323,31.5625
312.704519033432,31.5625
314.52860593795776,31.625
316.35254311561584,31.625
318.17654395103455,31.75
320.0005214214325,31.75
321.82413816452026,31.8125
323.6480987071991,31.8125
325.47214221954346,31.875
327.29655265808105,31.875
329.12059473991394,31.9375
330.94424533843994,31.9375
332.76809787750244,31.9375
334.5921640396118,32.0
336.41654348373413,32.0
338.2405982017517,32.0625
340.06453251838684,32.0625
341.8886001110077,32.125
343.7125086784363,32.125
345.53659677505493,32.1875
347.3601052761078,32.1875
349.1841332912445,32.25
351.00854682922363,32.25
352.8325822353363,32.3125
354.6565315723419,32.3125
356.48056054115295,32.3125
358.3045835494995,32.375
360.12860655784607,32.4375
361.9561359882355,32.4375
363.77609395980835,32.4375
365.60014486312866,32.5
367.4246015548706,32.5625
369.2485110759735,32.5625
371.07216000556946,32.625
372.89609122276306,32.625
374.72053360939026,32.625
376.5441417694092,32.6875
378.36809825897217,32.6875
380.1921441555023,32.75
382.01639127731323,32.75
383.8406059741974,32.8125
385.66454219818115,32.8125
387.4881510734558,32.875
389.3121004104614,32.875
391.1366169452667,32.9375
392.96051025390625,32.9375
394.78453040122986,32.9375
396.60814237594604,33.0
398.4321005344391,33.0
400.2561433315277,33.0625
402.0805425643921,33.0625
403.9045991897583,33.125
405.7285084724426,33.125
407.5526225566864,33.1875
409.376736164093,33.1875
411.20016384124756,33.25
413.02410364151,33.25
414.8481011390686,33.25
416.67251777648926,33.25
418.49661016464233,33.3125
420.3205199241638,33.3125
422.1446168422699,33.4375
423.96858167648315,33.375
425.79254126548767,33.4375
427.61610317230225,33.4375
429.4401433467865,33.5
431.2645342350006,33.5
433.0886158943176,33.5625
434.91251158714294,33.5625
436.736102104187,33.5625
438.56013774871826,33.625
440.38414764404297,33.6875
442.20852279663086,33.625
444.0324981212616,33.6875
445.8607590198517,33.75
447.6801028251648,33.75
449.50414538383484,33.8125
451.3285291194916,33.8125
453.1525237560272,33.8125
454.9765224456787,33.8125
456.80029034614563,33.875
458.62414288520813,33.9375
460.44809889793396,33.9375
462.27254366874695,33.9375
464.0966320037842,34.0
465.9203350543976,34.0
467.74452209472656,34.0
469.56852078437805,34.0
471.39215207099915,34.0625
473.21628642082214,34.125
475.040137052536,34.1875
476.86459136009216,34.125
478.68851470947266,34.125
480.5125184059143,34.1875
482.33651971817017,34.1875
484.16061997413635,34.25
485.98410820961,34.25
487.8081467151642,34.3125
489.63253116607666,34.3125
491.45614671707153,34.375
493.28009128570557,34.375
495.1041474342346,34.4375
496.9323959350586,34.4375
498.7525157928467,34.4375
500.5765130519867,34.4375
502.40010476112366,34.4375
504.2241473197937,34.5
506.0485911369324,34.5625
507.87251710891724,34.5625
509.6965277194977,34.5625
511.5201008319855,34.5625
513.3441383838654,34.625
515.1681022644043,34.625
516.9922869205475,34.625
518.8165712356567,34.6875
520.6405379772186,34.6875
522.4641499519348,34.75
524.2880947589874,34.75
526.1166200637817,34.8125
527.9365065097809,34.8125
529.7605338096619,34.8125
531.5845715999603,34.875
533.4085249900818,34.875
535.2325320243835,34.875
537.056158542633,34.9375
538.8800926208496,34.9375
540.7041099071503,34.9375
542.5285155773163,34.9375
544.3525605201721,35.0
546.1765570640564,35.0
548.0006141662598,35.0625
549.8245189189911,35.0625
551.6481053829193,35.0625
553.4721474647522,35.125
555.2961046695709,35.125
557.1205129623413,35.125
558.9446120262146,35.1875
560.7685194015503,35.1875
562.5921151638031,35.1875
564.4160888195038,35.1875
566.2401480674744,35.25
568.0646228790283,35.3125
569.8885231018066,35.3125
571.7120995521545,35.3125
573.5363397598267,35.3125
575.3600976467133,35.3125
577.1845328807831,35.3125
579.0085189342499,35.3125
580.8327355384827,35.375
582.6565291881561,35.375
584.4805233478546,35.375
586.3046236038208,35.4375
588.1286253929138,35.5
589.9525187015533,35.4375
591.7760996818542,35.5
593.6001007556915,35.5
595.4241409301758,35.5625
597.2485466003418,35.5625
599.0726404190063,35.625
600.896372795105,35.625
602.7205195426941,35.625
604.5445160865784,35.625
606.368155002594,35.6875
608.1921038627625,35.6875
610.0161466598511,35.75
611.8405182361603,35.75
613.664516210556,35.75
615.4885041713715,35.75
617.3125245571136,35.75
619.1366202831268,35.8125
620.9641575813293,35.875
622.7840988636017,35.8125
624.6081070899963,35.875
626.4325332641602,35.875
628.2565176486969,35.875
630.0805373191833,35.875
631.9045262336731,35.875
633.7286698818207,35.9375
635.5526173114777,36.0
637.3761038780212,36.0
639.2000949382782,36.0
641.0246136188507,36.0625
642.8485283851624,36.0625
644.6725268363953,36.0
646.4965515136719,36.0625
648.3205232620239,36.0625
650.1452209949493,36.125
651.9681448936462,36.1875
653.7921013832092,36.125
655.6160936355591,36.1875
657.4445202350616,36.1875
659.2646141052246,36.25
661.0881009101868,36.25
662.9121422767639,36.3125
664.7361047267914,36.3125
666.5605459213257,36.3125
668.3845045566559,36.3125
670.2085311412811,36.3125
672.0325486660004,36.375
673.8565101623535,36.375
675.6805219650269,36.375
677.5040972232819,36.375
679.3281457424164,36.4375
681.1525268554688,36.4375
682.9766008853912,36.5
684.8005065917969,36.4375
686.6245226860046,36.5
688.4484875202179,36.5
690.2725296020508,36.5
692.0961222648621,36.5
693.9201338291168,36.5625
695.7441008090973,36.5625
697.5685379505157,36.5
699.3925034999847,36.5625
701.2161033153534,36.5625
703.0401434898376,36.625
704.864099740982,36.625
706.6883895397186,36.625
708.5166597366333,36.6875
710.3361012935638,36.6875
712.1601123809814,36.6875
713.9846177101135,36.8125
715.8086023330688,36.75
717.6321411132812,36.75
719.4561066627502,36.75
721.2805271148682,36.8125
723.1040897369385,36.8125
724.9281475543976,36.875
726.7525815963745,36.875
728.5760955810547,36.875
730.4001007080078,36.875
732.2241089344025,36.875
734.0481059551239,36.875
735.8725960254669,36.9375
737.6961040496826,36.9375
739.5200922489166,36.9375
741.3440968990326,36.9375
743.1681034564972,36.9375
744.9921472072601,37.0625
746.816143989563,37.0
748.6405260562897,37.0625
750.4645237922668,37.0625
752.2885508537292,37.0625
754.1120946407318,37.0625
755.9402551651001,37.125
757.7602353096008,37.0625
759.5841398239136,37.125
761.4081454277039,37.1875
763.2320935726166,37.1875
765.0561029911041,37.125
766.8802275657654,37.25
768.7041018009186,37.1875
770.5281109809875,37.25
772.352100610733,37.25
774.17609167099,37.1875
776.0001096725464,37.25
777.8245248794556,37.25
779.6481473445892,37.3125
781.4720976352692,37.3125
783.2961177825928,37.3125
785.1201064586639,37.3125
786.9441473484039,37.375
788.7685256004333,37.375
790.5925240516663,37.375
792.4165360927582,37.375
794.2401549816132,37.4375
796.0641248226166,37.4375
797.8881525993347,37.5
799.7121043205261,37.4375
801.5361089706421,37.5
803.3601069450378,37.5
805.1840975284576,37.5
807.0081551074982,37.5625
808.8321077823639,37.5625
810.6560974121094,37.5625
812.4801025390625,37.5625
814.3040986061096,37.5625
816.1281046867371,37.5625
817.9520990848541,37.5625
819.7761533260345,37.625
821.6001024246216,37.625
823.4241280555725,37.6875
825.2480974197388,37.6875
827.0721085071564,37.6875
828.8961386680603,37.75
830.7200949192047,37.6875
832.5441107749939,37.6875
834.368106842041,37.75
836.1921110153198,37.75
838.0160987377167,37.75
839.8401503562927,37.8125
841.6641047000885,37.8125
843.4880886077881,37.8125
845.3120958805084,37.8125
847.1361048221588,37.8125
848.9600965976715,37.8125
850.7845180034637,37.8125
852.6080982685089,37.8125
854.432270526886,37.875
856.2565379142761,37.875
858.0805106163025,37.875
859.9046242237091,37.9375
861.7285225391388,37.9375
863.552542924881,37.9375
865.3766236305237,38.0
867.2001066207886,38.0
869.0240979194641,38.0
870.8552479743958,38.0625
872.6725447177887,38.0
874.4965178966522,38.0
876.3200974464417,38.0625
878.1441009044647,38.0625
879.9922060966492,38.125
881.7920987606049,38.125
883.6160979270935,38.125
885.4401051998138,38.125
887.2641050815582,38.125
889.0880978107452,38.125
890.9121530056,38.1875
892.7360961437225,38.1875
894.5601010322571,38.125
896.3841044902802,38.1875
898.2080962657928,38.1875
900.0321078300476,38.1875
901.8561437129974,38.25
903.6800985336304,38.25
905.5481133460999,38.25
907.3601002693176,38.25
909.1841399669647,38.3125
911.0081148147583,38.3125
912.8321008682251,38.3125
914.6561059951782,38.3125
916.4801001548767,38.3125
918.3040933609009,38.3125
920.1280932426453,38.3125
921.9521405696869,38.375
923.7760875225067,38.375
925.6000986099243,38.375
927.4241459369659,38.4375
929.2480981349945,38.4375
931.0722589492798,38.4375
932.8965375423431,38.4375
934.720522403717,38.4375
936.5441036224365,38.4375
938.3681027889252,38.4375
940.192144870758,38.5
942.0161113739014,38.5
943.8401439189911,38.5625
945.6640985012054,38.5625
947.4881017208099,38.5625
949.3120965957642,38.5
951.1361060142517,38.5625
952.9601018428802,38.5625
954.7841489315033,38.625
956.6081969738007,38.5625
958.4320886135101,38.5625
960.256100654602,38.5625
962.0801057815552,38.625
963.9040901660919,38.625
965.7281031608582,38.625
967.5521464347839,38.6875
969.3760945796967,38.6875
971.2000975608826,38.6875
973.0241034030914,38.6875
974.8481476306915,38.75
976.6721014976501,38.6875
978.496089220047,38.6875
980.3201005458832,38.75
982.1481721401215,38.75
983.9681444168091,38.8125
985.792102098465,38.75
987.6161024570465,38.75
989.440096616745,38.8125
991.2641034126282,38.8125
993.088095664978,38.8125
994.912100315094,38.8125
996.7361018657684,38.8125
998.5601015090942,38.8125
1000.3841524124146,38.875
1002.2081212997437,38.875
1004.032146692276,38.9375
1005.8602826595306,38.9375
1007.6801133155823,38.875
1009.5045034885406,38.875
1011.3280997276306,38.9375
1013.1521053314209,38.9375
1014.9761030673981,38.9375
1016.800615310669,39.0
1018.6241052150726,39.0
1020.448096036911,39.0
1022.2720975875854,39.0
1024.0960965156555,39.0
1025.9201095104218,39.0
1027.7441492080688,39.0625
1029.5680820941925,39.0625
1031.3921480178833,39.125
1033.2161195278168,39.0625
1035.0401012897491,39.0625
1036.8641002178192,39.125
1038.6884980201721,39.125
1040.51251578331,39.125
1042.3361039161682,39.125
1044.1601028442383,39.125
1045.9846425056458,39.1875
1047.8085143566132,39.1875
1049.636103630066,39.125
1051.4561014175415,39.1875
1053.2800960540771,39.1875
1055.1045935153961,39.1875
1056.9281418323517,39.25
1058.7520990371704,39.25
1060.5760927200317,39.25
1062.4005331993103,39.25
1064.224101781845,39.25
1066.0481171607971,39.25
1067.8721661567688,39.25
1069.6965990066528,39.3125
