Time (s),Temperature (°C)
0.8146562576293945,23.0
2.6385905742645264,23.0
4.462594270706177,23.0
6.2865846157073975,23.0
8.110615730285645,23.0
9.934624671936035,22.9375
11.758589506149292,23.0
13.583046674728394,23.0
15.407023906707764,23.0
17.23058247566223,23.0
19.054585456848145,22.9375
20.87902307510376,23.0
22.70300006866455,22.9375
24.527013063430786,23.0
26.350587844848633,23.0
28.17457365989685,23.0
29.998573303222656,23.0
31.822938203811646,23.0
33.64696168899536,22.9375
35.47108340263367,23.0
37.29460382461548,23.0
39.11858510971069,23.0
40.94301509857178,23.0
42.76701736450195,23.0
44.590622901916504,23.0625
46.414729833602905,23.0
48.238574504852295,23.0
50.0625741481781,23.0
51.88658928871155,23.0625
53.71485233306885,23.0
55.53458786010742,23.0
57.35859155654907,23.0625
59.183027267456055,23.0625
61.006585121154785,23.0625
62.83057951927185,23.0625
64.65458512306213,23.0
66.49900102615356,23.0625
68.30300760269165,23.0
70.1265778541565,23.0625
71.95057654380798,23.0625
73.77457785606384,23.0625
75.59902238845825,23.0625
77.42300605773926,23.0625
79.2465922832489,23.0625
81.07058501243591,23.0625
82.89458703994751,23.0625
84.7186381816864,23.125
86.54257416725159,23.125
88.36657571792603,23.125
90.19063472747803,23.125
92.01457405090332,23.125
93.83858036994934,23.125
95.67095899581909,23.125
97.48658490180969,23.125
99.31057810783386,23.125
101.13510918617249,23.1875
102.95901226997375,23.1875
104.78304743766785,23.125
106.60711097717285,23.25
108.43101644515991,23.1875
110.25458312034607,23.25
112.0785801410675,23.25
113.90257620811462,23.25
115.73064374923706,23.3125
117.55067086219788,23.3125
119.37457942962646,23.3125
121.19858503341675,23.3125
123.02257442474365,23.3125
124.84657764434814,23.3125
126.67110753059387,23.3125
128.4951093196869,23.375
130.3190131187439,23.375
132.14300394058228,23.375
133.96708154678345,23.4375
135.79058980941772,23.4375
137.6145966053009,23.4375
139.4385848045349,23.4375
141.26262879371643,23.5
143.08658051490784,23.5
144.91058349609375,23.5
146.7350845336914,23.4375
148.5590968132019,23.5625
150.3825900554657,23.5625
152.20658135414124,23.5625
154.0306134223938,23.625
155.85486960411072,23.625
157.67902040481567,23.625
159.50300097465515,23.625
161.32658505439758,23.625
163.15056848526,23.625
164.97462129592896,23.6875
166.79862356185913,23.75
168.62257409095764,23.75
170.44659781455994,23.75
172.2705807685852,23.75
174.09462308883667,23.8125
175.9190068244934,23.8125
177.74299716949463,23.8125
179.56704950332642,23.8125
181.3906180858612,23.875
183.21456027030945,23.875
185.03862166404724,23.9375
186.8625988960266,23.9375
188.68658208847046,23.9375
190.51062107086182,24.0
192.33459329605103,24.0
194.15860724449158,24.0625
195.98293256759644,24.0625
197.80703568458557,24.0625
199.63100910186768,24.0625
201.45462107658386,24.125
203.27856969833374,24.125
205.1025800704956,24.125
206.92708778381348,24.1875
208.75110626220703,24.1875
210.57509899139404,24.25
212.3985834121704,24.25
214.22258305549622,24.25
216.0466239452362,24.3125
217.8710219860077,24.3125
219.69509387016296,24.375
221.51858806610107,24.375
223.34278106689453,24.375
225.16662454605103,24.4375
226.99099898338318,24.4375
228.81457805633545,24.4375
230.63869524002075,24.5
232.46302103996277,24.5
234.28702449798584,24.5
236.11100673675537,24.5
237.93509316444397,24.5625
239.75912261009216,24.625
241.58259439468384,24.625
243.40657234191895,24.625
245.23061418533325,24.6875
247.0545735359192,24.6875
248.87858080863953,24.6875
250.702632188797,24.75
252.52658104896545,24.75
254.3505871295929,24.75
256.17458176612854,24.75
257.9986252784729,24.875
259.82258462905884,24.875
261.6465826034546,24.875
263.4710056781769,24.875
265.2949984073639,24.875
267.1186263561249,24.9375
268.94262433052063,25.0
270.7665922641754,25.0
272.5905840396881,25.0
274.4147665500641,25.0625
276.23858189582825,25.0625
278.0630798339844,25.125
279.8870139122009,25.125
281.7106125354767,25.1875
283.5345869064331,25.1875
285.35858178138733,25.1875
287.1825954914093,25.1875
289.00661969184875,25.25
290.8305950164795,25.25
292.65462732315063,25.3125
294.4785842895508,25.3125
296.30258202552795,25.3125
298.1265826225281,25.3125
299.9506232738495,25.375
301.7746305465698,25.4375
303.5985817909241,25.4375
305.42258477211,25.4375
307.24661660194397,25.5
309.0705916881561,25.5
