Time (s),Temperature (°C),Error,PID Output,P Component,I Component
4688.478447437286,29.625,1.375,36.62331625,0.0636625,36.55965375
4690.302893400192,29.6875,1.3125,36.624793125000004,0.06076875,36.564024375
4692.12691950798,29.625,1.375,36.632265625,0.0636625,36.568603125
4693.950883865356,29.625,1.375,36.636844375,0.0636625,36.573181875
4695.77445936203,29.625,1.375,36.641423125,0.0636625,36.577760625
4697.598450660706,29.6875,1.3125,36.642900000000004,0.06076875,36.58213125
4699.422436237335,29.625,1.375,36.6503725,0.0636625,36.586710000000004
4701.246902704239,29.625,1.375,36.65495125,0.0636625,36.591288750000004
4703.0708527565,29.6875,1.3125,36.656428125000005,0.06076875,36.595659375000004
4704.8953421115875,29.625,1.375,36.663900625000004,0.0636625,36.600238125000004
4706.718905210495,29.6875,1.3125,36.665377500000005,0.06076875,36.604608750000004
4708.542907476425,29.6875,1.3125,36.669748125000005,0.06076875,36.608979375000004
4710.366450071335,29.6875,1.3125,36.674118750000005,0.06076875,36.613350000000004
4712.190452337265,29.625,1.375,36.68159125,0.0636625,36.61792875
4714.014450311661,29.6875,1.3125,36.683068125,0.06076875,36.622299375
4715.838895082474,29.625,1.375,36.690540625,0.0636625,36.626878125
4717.6635184288025,29.6875,1.3125,36.6920175,0.06076875,36.63124875
4719.4868993759155,29.6875,1.3125,36.696388125,0.06076875,36.635619375
4721.310452461243,29.6875,1.3125,36.70075875,0.06076875,36.63999
4723.134449720383,29.6875,1.3125,36.705129375,0.06076875,36.644360625
4724.95921087265,29.625,1.375,36.712601875,0.0636625,36.648939375
4726.782889842987,29.6875,1.3125,36.71407875,0.06076875,36.65331
4728.606960058212,29.625,1.375,36.72155125,0.0636625,36.65788875
4730.430451393127,29.6875,1.3125,36.723028125,0.06076875,36.662259375
4732.254441738129,29.6875,1.3125,36.72739875,0.06076875,36.66663
4734.0784504413605,29.6875,1.3125,36.731769375,0.06076875,36.671000625
4735.9029109478,29.6875,1.3125,36.73614,0.06076875,36.67537125
4737.726905107498,29.6875,1.3125,36.740510625,0.06076875,36.679741875
4739.551109552383,29.75,1.25,36.741779375,0.057875,36.683904375
4741.374897956848,29.6875,1.3125,36.74904375,0.06076875,36.688275
4743.19890666008,29.6875,1.3125,36.753414375,0.06076875,36.692645625
4745.022458553314,29.6875,1.3125,36.757785,0.06076875,36.69701625
4746.846438884735,29.6875,1.3125,36.762155625,0.06076875,36.701386875
4748.670439243317,29.6875,1.3125,36.76652625,0.06076875,36.7057575
4750.494894981384,29.75,1.25,36.76779500000001,0.057875,36.709920000000004
4752.318889141083,29.6875,1.3125,36.775059375000005,0.06076875,36.714290625000004
4754.142892360687,29.6875,1.3125,36.779430000000005,0.06076875,36.718661250000004
4755.966456890106,29.6875,1.3125,36.783800625000005,0.06076875,36.723031875000004
4757.790451049805,29.6875,1.3125,36.788171250000005,0.06076875,36.727402500000004
4759.6144597530365,29.6875,1.3125,36.792541875000005,0.06076875,36.731773125000004
4761.438899517059,29.75,1.25,36.793810625000006,0.057875,36.735935625
4763.262903690338,29.6875,1.3125,36.801075000000004,0.06076875,36.74030625
4765.086470842361,29.6875,1.3125,36.805445625000004,0.06076875,36.744676875
4766.910450696945,29.6875,1.3125,36.809816250000004,0.06076875,36.7490475
4768.734446525574,29.6875,1.3125,36.814186875000004,0.06076875,36.753418125
4770.558900594711,29.625,1.375,36.821659375,0.0636625,36.757996875
4772.382883548737,29.6875,1.3125,36.823136250000005,0.06076875,36.7623675
4774.206896066666,29.6875,1.3125,36.827506875000005,0.06076875,36.766738125
4776.030907392502,29.6875,1.3125,36.831877500000004,0.06076875,36.77110875
4777.85489153862,29.6875,1.3125,36.836248125000004,0.06076875,36.775479375
4779.68247127533,29.6875,1.3125,36.840618750000004,0.06076875,36.77985
4781.502514839172,29.75,1.25,36.841887500000006,0.057875,36.7840125
4783.326445579529,29.6875,1.3125,36.849151875000004,0.06076875,36.788383125
4785.150908946991,29.6875,1.3125,36.853522500000004,0.06076875,36.79275375
4786.974895000458,29.6875,1.3125,36.857893125000004,0.06076875,36.797124375
4788.798888921738,29.6875,1.3125,36.862263750000004,0.06076875,36.801495
4790.6224484443665,29.75,1.25,36.863532500000005,0.057875,36.8056575
4792.446434020996,29.6875,1.3125,36.870796875,0.06076875,36.810028125
4794.270440816879,29.6875,1.3125,36.8751675,0.06076875,36.81439875
4796.09495472908,29.6875,1.3125,36.879538125,0.06076875,36.818769375
4797.9188895225525,29.6875,1.3125,36.88390875,0.06076875,36.82314
4799.742758512497,29.6875,1.3125,36.888279375,0.06076875,36.827510625
4801.566908597946,29.6875,1.3125,36.89265,0.06076875,36.83188125
4803.3908812999725,29.75,1.25,36.893918750000005,0.057875,36.83604375
4805.214902877808,29.6875,1.3125,36.901183125,0.06076875,36.840414375
4807.038899898529,29.6875,1.3125,36.90555375,0.06076875,36.844785
4808.862887620926,29.6875,1.3125,36.909924375,0.06076875,36.849155625
4810.690506696701,29.6875,1.3125,36.914295,0.06076875,36.85352625
4812.5104422569275,29.75,1.25,36.915563750000004,0.057875,36.85768875
4814.334454298019,29.6875,1.3125,36.922828125,0.06076875,36.862059375
4816.158920288086,29.6875,1.3125,36.92719875,0.06076875,36.86643
4817.982923269272,29.6875,1.3125,36.931569375,0.06076875,36.870800625
4819.806457996368,29.6875,1.3125,36.93594,0.06076875,36.87517125
4821.6304500103,29.6875,1.3125,36.940310625,0.06076875,36.879541875
4823.4544360637665,29.75,1.25,36.941579375,0.057875,36.883704375
4825.278904676437,29.6875,1.3125,36.94884375,0.06076875,36.888075
4827.1029098033905,29.6875,1.3125,36.953214375,0.06076875,36.892445625
4828.926898479462,29.6875,1.3125,36.957585,0.06076875,36.89681625
4830.750847578049,29.75,1.25,36.95885375,0.057875,36.90097875
4832.574911117554,29.6875,1.3125,36.966118125,0.06076875,36.905349375
4834.3988926410675,29.75,1.25,36.967386875,0.057875,36.909511875
4836.222898006439,29.6875,1.3125,36.97465125,0.06076875,36.9138825
4838.046913385391,29.6875,1.3125,36.979021875,0.06076875,36.918253125
4839.870458364487,29.6875,1.3125,36.9833925,0.06076875,36.92262375
4841.694441795349,29.75,1.25,36.98466125,0.057875,36.92678625
4843.518443107605,29.6875,1.3125,36.991925625,0.06076875,36.931156875
4845.342913866043,29.75,1.25,36.993194375,0.057875,36.935319375
4847.166901111603,29.75,1.25,36.997356875,0.057875,36.939481875
4848.9909064769745,29.6875,1.3125,37.00462125,0.06076875,36.9438525
4850.814464330673,29.75,1.25,37.00589,0.057875,36.948015
4852.63844370842,29.75,1.25,37.0100525,0.057875,36.9521775
4854.462440252304,29.75,1.25,37.014215,0.057875,36.95634
4856.286900758743,29.75,1.25,37.01837750000001,0.057875,36.960502500000004
4858.110889673233,29.6875,1.3125,37.025641875000005,0.06076875,36.964873125000004
4859.934911251068,29.6875,1.3125,37.030012500000005,0.06076875,36.969243750000004
4861.7588884830475,29.6875,1.3125,37.034383125000005,0.06076875,36.973614375000004
4863.582892417908,29.6875,1.3125,37.038753750000005,0.06076875,36.977985000000004
4865.4069101810455,29.75,1.25,37.040022500000006,0.057875,36.9821475
4867.230907440186,29.75,1.25,37.044185000000006,0.057875,36.98631
4869.054850101471,29.75,1.25,37.048347500000006,0.057875,36.9904725
4870.878455400467,29.75,1.25,37.052510000000005,0.057875,36.994635
4872.70244717598,29.6875,1.3125,37.059774375,0.06076875,36.999005625
4874.526454925537,29.75,1.25,37.061043125000005,0.057875,37.003168125
4876.35090637207,29.6875,1.3125,37.0683075,0.06076875,37.00753875
4878.174837350845,29.6875,1.3125,37.072678125,0.06076875,37.011909375
4879.998465061188,29.75,1.25,37.073946875000004,0.057875,37.016071875
4881.822456598282,29.6875,1.3125,37.08121125,0.06076875,37.0204425
4883.646451711655,29.75,1.25,37.082480000000004,0.057875,37.024605
4885.470966100693,29.75,1.25,37.0866425,0.057875,37.0287675
4887.294898271561,29.75,1.25,37.090805,0.057875,37.03293
4889.118884563446,29.75,1.25,37.0949675,0.057875,37.0370925
4890.942894697189,29.75,1.25,37.09913,0.057875,37.041255
4892.766879558563,29.75,1.25,37.1032925,0.057875,37.0454175
4894.590892314911,29.75,1.25,37.107455,0.057875,37.04958
4896.414626121521,29.75,1.25,37.1116175,0.057875,37.0537425
4898.238447904587,29.75,1.25,37.11578,0.057875,37.057905
4900.062900543213,29.75,1.25,37.1199425,0.057875,37.0620675
4901.886911153793,29.75,1.25,37.124105,0.057875,37.06623
4903.710885047913,29.75,1.25,37.12826750000001,0.057875,37.070392500000004
4905.53445982933,29.75,1.25,37.13243000000001,0.057875,37.074555000000004
4907.35848402977,29.8125,1.1875,37.133490625,0.05498125,37.078509375
4909.1824424266815,29.75,1.25,37.140546875000005,0.057875,37.082671875
4911.00691986084,29.75,1.25,37.144709375000005,0.057875,37.086834375
4912.830888271332,29.8125,1.1875,37.14577,0.05498125,37.09078875
4914.654527187347,29.75,1.25,37.152826250000004,0.057875,37.09495125
4916.478448152542,29.75,1.25,37.156988750000004,0.057875,37.09911375
4918.302448511124,29.75,1.25,37.16115125,0.057875,37.10327625
4920.126896381378,29.75,1.25,37.16531375,0.057875,37.10743875
4921.950900316238,29.75,1.25,37.16947625,0.057875,37.11160125
4923.7748947143555,29.75,1.25,37.17363875,0.057875,37.11576375
4925.598927497864,29.75,1.25,37.17780125,0.057875,37.11992625
4927.422899007797,29.8125,1.1875,37.178861874999996,0.05498125,37.123880625
4929.2466559410095,29.75,1.25,37.185918125,0.057875,37.128043125
4931.070456027985,29.75,1.25,37.190080625,0.057875,37.132205625
4932.8944590091705,29.75,1.25,37.19424312500001,0.057875,37.136368125000004
4934.718754529953,29.75,1.25,37.19840562500001,0.057875,37.140530625000004
4936.542895793915,29.8125,1.1875,37.19946625,0.05498125,37.144485
4938.366889476776,29.75,1.25,37.206522500000005,0.057875,37.1486475
4940.190452337265,29.75,1.25,37.210685000000005,0.057875,37.15281
4942.014449596405,29.75,1.25,37.214847500000005,0.057875,37.1569725
4943.838442802429,29.75,1.25,37.219010000000004,0.057875,37.161135
4945.662934541702,29.75,1.25,37.223172500000004,0.057875,37.1652975
4947.486906290054,29.75,1.25,37.227335000000004,0.057875,37.16946
4949.310909748077,29.8125,1.1875,37.228395625,0.05498125,37.173414375
