Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8003363609313965,25.0625,5.9375,27.490625,0.27490625,0.0
6.624878883361816,24.875,6.125,40.238584886431696,0.2835875,0.11879834886431695
12.448309183120728,24.9375,6.0625,51.70566997541488,0.28069375,0.23636294975414873
18.27225637435913,24.9375,6.0625,63.46312255120278,0.28069375,0.35393747551202775
24.096261501312256,24.9375,6.0625,75.2206954575926,0.28069375,0.47151320457592605
29.92080593109131,25.0,6.0,86.5687225958258,0.2778,0.5878872259582579
35.7442684173584,25.0,6.0,98.20403970493376,0.2778,0.7042403970493376
41.56832432746887,25.125,5.875,100,0.2720125,0.8181808221687377
47.392308473587036,25.1875,5.8125,100,0.26911875,0.9309077491427958
53.21625566482544,25.1875,5.8125,100,0.26911875,1.0436338408488035
59.04030919075012,25.375,5.625,100,0.2604375,1.1527256836491824
64.86431455612183,25.4375,5.5625,100,0.25754375,1.2606044718651475
70.68879532814026,25.625,5.375,100,0.24886250000000001,1.3648550770287216
76.51229500770569,25.75,5.25,100,0.243075,1.4666647227881848
82.33629727363586,26.0625,4.9375,100,0.22860625,1.5624222361242772
88.16029095649719,26.1875,4.8125,100,0.22281875,1.6557553787089885
93.98429465293884,26.375,4.625,100,0.2141375,1.7454523156388104
99.80829977989197,26.6875,4.3125,100,0.19966875,1.8290886726889015
105.63229656219482,26.875,4.125,100,0.1909875,1.9090885419398547
111.4563159942627,27.25,3.75,100,0.173625,1.9818159875750543
117.28028845787048,27.4375,3.5625,100,0.16494375,2.0509065037357805
123.10430383682251,27.8125,3.1875,100,0.14758125,2.1127247844430803
128.92878341674805,28.0625,2.9375,100,0.13600625,2.1696989477169515
134.7522909641266,28.375,2.625,100,0.1215375,2.220603837287128
140.57632660865784,28.6875,2.3125,100,0.10706875,2.2654525481003525
146.4003040790558,28.9375,2.0625,100,0.09549375,2.3054523533642293
152.22429728507996,29.3125,1.6875,100,0.07813125,2.3381795565260948
158.04875540733337,29.5625,1.4375,100,0.06655625,2.3660604239040612
163.87280321121216,29.9375,1.0625,100,0.04919375,2.386666626291722
169.69679880142212,30.25,0.75,100,0.034725,2.401212060637325
175.52029514312744,30.5625,0.4375,100,0.02025625,2.409696191531718
181.34429335594177,30.9375,0.0625,100,0.00289375,2.4109083112093805
187.16829586029053,31.25,-0.25,100,-0.011575,2.4060598287275434
192.99229836463928,31.625,-0.625,100,-0.0289375,2.3939386250039933
198.81628847122192,31.875,-0.875,100,-0.0405125,2.37696897105217
204.64029955863953,32.25,-1.25,100,-0.057875,2.3527265268856286
210.46429753303528,32.5,-1.5,100,-0.06945,2.323635657003522
216.28829145431519,32.9375,-1.9375,100,-0.08970625,2.2860599746844175
222.11230087280273,33.1875,-2.1875,100,-0.10128125,2.2436357026031613
227.93629336357117,33.4375,-2.4375,100,-0.11285625,2.196363087425083
233.76030445098877,33.875,-2.875,100,-0.1331125,2.1406054635594787
239.58429622650146,34.125,-3.125,100,-0.1446875,2.079999546664506
245.40829277038574,34.4375,-3.4375,100,-0.15915625,2.013332986226231
251.23229718208313,34.6875,-3.6875,100,-0.17073125,1.9418178520533442
257.05629563331604,35.0625,-4.0625,100,-0.18809375,1.8630300762306153
262.88030099868774,35.3125,-4.3125,100,-0.19966875,1.779393726028204
268.70430731773376,35.5625,-4.5625,100,-0.21124375,1.6909088663998246
274.5282955169678,35.875,-4.875,100,-0.2257125,1.5963636863592268
280.35228061676025,36.125,-5.125,100,-0.2372875,1.4969701128566266
286.176784992218,36.4375,-5.4375,100,-0.25175625,1.3915068510183692
292.000771522522,36.625,-5.625,100,-0.2604375,1.2824162899249791
297.82477951049805,36.9375,-5.9375,89.23585244135558,-0.27490625,1.1672647744135558
303.648300409317,37.25,-6.25,75.66873735503854,-0.289375,1.0460623735503853
309.47230219841003,37.4375,-6.4375,62.31577149759233,-0.29805625,0.9212139649759233
315.29628801345825,37.6875,-6.6875,48.18862067942321,-0.30963125,0.7915174567942321
321.12077832221985,37.75,-6.75,34.807286708995704,-0.312525,0.660597867089957
326.94429636001587,38.0,-7.0,20.075125037118795,-0.3241,0.524851250371188
332.7682979106903,38.125,-7.125,5.678202792271975,-0.3298875,0.38666952792271975
338.59229731559753,38.25,-7.25,0,-0.335675,0.24606359350964427
344.4162542819977,38.25,-7.25,0,-0.335675,0.10545876425251365
350.24029755592346,38.3125,-7.3125,0,-0.33856875000000003,-0.03636039335668087
356.064790725708,38.375,-7.375,0,-0.3414625,-0.17940224926650525
361.88827180862427,38.375,-7.375,0,-0.3414625,-0.32241999906152485
367.7123010158539,38.4375,-7.4375,0,-0.34435625000000003,-0.4666630614821613
373.53626799583435,38.375,-7.375,0,-0.3414625,-0.6096923402886093
